Model,RMSE,MAE,R2,MSE
OLS,9.2627537986087,7.135160143269764,-0.6878753502185619,85.79860793363987
Ridge,8.80786067470215,6.88717360640604,-0.5261632855853282,77.57840966496462
Lasso,8.702179413605744,6.764908938003593,-0.4897596082211615,75.72792654658363
PCA_90%_Linear,7.673476263476092,6.029213042026539,-0.15836236067612108,58.882237966131
PCA_95%_Linear,8.348116138776259,6.519865589996061,-0.37099886065680177,69.69104306649663
PCA_99%_Linear,9.230197837764573,7.404738571439446,-0.6760313916211123,85.19655212427381
Best_PCA_Linear,7.673476263476092,6.029213042026539,-0.15836236067612108,58.882237966131
PCA_SVR_rbf,7.277310418873103,4.386584954619808,-0.04184216523508355,52.95924693263902
PCA_SVR_poly,7.4451620863512495,4.471476103278111,-0.09045674557898264,55.43043849204209
PCA_SVR_sigmoid,8.576267872127332,5.372680344452506,-0.4469609274587212,73.55237061448346
PCA_XGBoost,5.2165766280411265,3.1410266744022097,0.4646580065852436,27.21267171622493
XGB_plus_GP_residuals,4.602997825106099,2.6619101012146698,0.5831866037491793,21.18758897793148
PCA_GaussianProcess,5.4054293225860555,3.449794941632253,0.42519502859114156,29.21866616147314
